# id 	 z 	 t0 	 x0 	 x1 	 c
23 6.964639e-01 6.081343e+01 4.671361e-06 1.398676e+00 1.013962e-01
24 6.278592e-01 -6.182964e+01 3.690651e-05 6.729862e-02 -5.000000e-01
25 6.459071e-01 3.319973e+01 4.000803e-06 5.663076e-01 1.811177e-01
26 1.063127e+00 -6.352504e+01 1.331163e-04 -2.733321e-02 -4.676021e-01
27 7.747782e-01 -8.497410e+01 7.180634e-06 -1.251874e-02 -4.999999e-01
28 5.455517e-01 8.917231e+00 2.494775e-06 3.168410e-01 2.884737e-01
29 6.873122e-01 6.151838e+01 3.090471e-06 -2.143201e-01 -1.436348e-01
30 4.579349e-01 6.067067e+01 1.047126e-06 3.000000e+00 -3.074928e-01
31 8.480825e-01 4.940479e+01 1.972541e-05 -1.147885e-01 -3.533675e-01
32 1.174040e+00 7.033249e+01 1.374082e-06 2.926717e+00 1.041001e-01
33 6.401803e-01 1.615682e+01 1.776559e-06 3.000000e+00 2.415202e-01
34 3.289800e-01 1.485309e+01 4.224806e-05 6.446229e-01 -7.447240e-02
35 5.509818e-01 -9.624432e+01 1.590473e-05 3.329436e-01 -5.000000e-01
36 5.213601e-01 6.474035e+01 2.933407e-06 -2.611783e+00 -2.047830e-01
37 7.087988e-01 6.134419e+01 7.178699e-06 1.816901e+00 7.067404e-02
38 1.138057e+00 5.041796e+01 4.447110e-06 -2.441473e-02 -2.196795e-01
39 7.596893e-01 7.862288e+01 9.905251e-07 3.000000e+00 8.916057e-02
40 3.087075e-01 5.835692e+01 1.077035e-05 3.000000e+00 1.263844e-01
41 6.410349e-01 5.739384e+01 5.633250e-06 1.505419e+00 7.808855e-02
42 6.940793e-01 8.283092e+01 1.187898e-06 3.000000e+00 3.384297e-02
43 4.527739e-01 -8.068198e+01 2.011374e-06 2.981334e+00 3.769620e-01
44 3.307854e-01 6.262184e+01 6.534636e-06 3.000000e+00 1.973944e-01
45 5.799406e-01 4.902350e+01 4.851884e-05 6.889069e-01 -3.300793e-01
46 1.052589e+00 2.149032e+01 -1.189961e-07 -3.000000e+00 2.900232e-01
47 1.012528e+00 7.707626e+01 2.946238e-06 -2.220921e+00 6.016657e-02
48 6.723983e-01 4.984110e+01 1.963773e-06 1.130379e+00 -2.956529e-01
49 4.477891e-01 -9.929574e+01 4.025334e-06 -6.146219e-02 1.252268e-01
50 6.354098e-01 1.527320e+01 4.227709e-06 -1.983580e+00 3.452855e-01
51 5.246790e-01 7.423938e+01 3.139565e-06 2.999998e+00 6.125524e-02
52 9.058327e-01 4.972333e+01 4.794391e-06 -4.000978e-01 -3.477194e-01
53 3.607625e-01 3.841089e+01 1.747919e-06 -3.000000e+00 3.026403e-02
54 2.648009e-01 -9.090150e+01 8.284669e-06 -2.999999e+00 1.286708e-01
55 9.336823e-01 6.141628e+01 3.264680e-06 -5.764224e-02 -3.602449e-01
56 5.974525e-02 9.999957e+01 -3.354037e-05 -1.823100e+00 4.999994e-01
57 4.503689e-01 -7.508907e+01 2.767187e-06 -2.999849e+00 4.999999e-01
58 9.330843e-01 -5.950125e+01 1.558789e-05 -3.000000e+00 4.999998e-01
59 6.607136e-01 6.378558e+01 7.720044e-06 -1.614716e+00 -1.635320e-01
60 5.692932e-01 -3.368249e+01 6.578435e-06 1.149924e+00 -6.927610e-02
61 3.534895e-01 1.000000e+02 1.472907e-06 3.000000e+00 4.999999e-01
62 5.012917e-01 -8.650449e+01 1.824688e-05 3.591392e-01 -4.067065e-01
63 4.926279e-01 4.784586e+01 3.571287e-06 3.000000e+00 2.481756e-01
64 9.595996e-01 6.990622e+01 2.105506e-06 -5.185205e-02 -3.480332e-01
65 3.380761e-01 -5.495205e+01 2.347801e-04 3.000000e+00 -2.962639e-01
66 3.925893e-01 1.955350e+01 1.256314e-05 -2.816726e+00 -6.598777e-02
67 6.529729e-01 5.795598e+01 3.059266e-06 1.502663e+00 -2.942763e-01
68 4.085491e-01 4.893035e+01 2.388292e-06 1.292970e+00 4.999959e-01
69 9.179285e-01 5.613618e+00 3.167920e-06 1.743971e+00 -7.196858e-02
70 7.662246e-01 5.617466e+01 2.552449e-06 1.853986e+00 -2.491376e-01
71 3.292497e-01 -9.051654e+01 2.476785e-06 3.000000e+00 -1.005238e-01
72 7.724171e-01 6.658334e+01 7.213379e-05 -2.419904e-02 -3.586296e-01
73 9.971913e-01 3.285760e+00 2.107025e-06 6.796719e-01 -1.656222e-02
74 5.469968e-01 6.054636e+01 1.679048e-06 3.000000e+00 -2.127670e-01
75 7.206103e-01 6.591578e+01 1.244686e-06 3.000000e+00 5.915073e-02
76 2.246463e-01 -2.809391e+01 1.192292e-05 2.999993e+00 5.000000e-01
77 1.014541e+00 7.809922e+01 2.173031e-06 -2.310226e+00 -3.305630e-02
78 4.683018e-01 -8.922489e+01 5.903515e-06 -4.348041e-01 -4.995341e-01
79 8.280762e-01 5.935476e+01 2.212798e-06 -1.478859e+00 4.919365e-01
80 1.456455e-01 -6.608349e+01 4.692058e-06 -1.001287e+00 4.618793e-01
81 4.819964e-01 -9.901704e+01 1.334116e-05 1.678464e+00 -3.014659e-01
82 6.813716e-01 6.653415e+01 1.749060e-06 3.000000e+00 -1.447314e-01
83 8.324365e-01 -4.647369e+01 2.491672e-05 1.985613e-02 -2.665777e-01
84 7.140857e-01 -9.939178e+01 1.606061e-05 -2.999998e+00 -1.546679e-01
85 9.610563e-01 4.700452e+01 1.584841e-06 -1.706050e+00 2.045166e-01
86 4.332916e-02 1.696463e+01 1.508822e-06 3.000000e+00 4.999999e-01
87 7.251071e-01 -8.723667e+01 6.341872e-06 1.570059e-01 -5.000000e-01
88 4.216511e-01 -8.816400e+01 4.616554e-05 2.652531e+00 -4.999912e-01
89 4.635725e-01 -9.221325e+01 6.587914e-06 -2.132599e+00 -2.326059e-01
90 8.736326e-01 8.188189e+01 1.905904e-06 -4.406435e-01 -3.698397e-01
91 4.848344e-01 5.663420e+01 3.605977e-06 1.682683e+00 2.539243e-01
92 7.100674e-01 -9.965176e+01 1.121395e-05 6.897298e-02 -5.000000e-01
93 6.532577e-01 5.171324e+01 3.998031e-06 6.405690e-01 -3.368154e-01
94 7.115054e-01 -9.450889e+01 9.473845e-06 -2.999997e+00 -6.361905e-02
95 7.184343e-01 -5.683206e+01 1.335083e-05 -2.999996e+00 -1.268158e-01
96 9.573763e-01 4.924080e+01 1.626499e-06 3.420078e-01 -3.233266e-01
97 8.131784e-01 -8.261142e+01 3.944124e-06 -1.078833e+00 -8.683626e-02
98 6.550576e-01 5.366345e+01 4.421562e-06 -2.999998e+00 3.318123e-01
99 5.398676e-01 -5.688867e+01 3.111452e-05 1.432587e-01 -5.000000e-01
100 5.405604e-01 6.426815e+01 2.546705e-06 -6.231121e-01 2.564900e-01
101 8.237721e-01 -6.836587e+00 2.555208e-06 -1.781425e+00 -1.642262e-01
102 5.399258e-01 6.252298e+01 2.005890e-06 1.226118e+00 -1.652650e-01
103 8.211486e-01 2.533822e+01 2.923253e-06 2.089110e-02 -3.882628e-01
104 5.533212e-01 -9.433798e+01 3.823169e-06 8.121727e-01 -4.036355e-01
105 3.540264e-01 5.393346e+01 1.990087e-05 -1.290554e-02 1.392808e-01
106 9.417424e-02 6.867526e+01 2.597384e-06 3.000000e+00 5.000000e-01
107 8.751544e-01 7.751334e+01 1.403007e-06 -1.102970e+00 2.295661e-01
108 6.980298e-01 6.449684e+01 2.270986e-06 -1.108940e+00 1.469325e-01
109 1.197691e+00 -3.427824e+01 5.458690e-05 -3.000000e+00 -1.011560e-01
110 5.202936e-01 5.954114e+01 1.632512e-06 3.000000e+00 1.051506e-01
111 9.512008e-01 -4.688079e+01 6.761694e-06 -2.546967e-02 -4.999981e-01
112 7.683924e-01 8.527948e+01 6.942027e-05 -8.629485e-01 -2.149250e-01
113 6.045347e-01 -2.525596e+01 8.239853e-06 1.805031e-01 -4.436923e-01
114 2.069563e-01 5.420612e+01 5.910207e-06 3.000000e+00 5.000000e-01
115 1.067043e+00 2.820918e+01 2.413185e-06 5.759111e-01 -1.598567e-01
116 7.274778e-01 6.141294e+01 9.724552e-06 3.000000e+00 -1.374274e-01
117 1.211083e+00 6.720889e+01 1.344892e-06 2.999937e+00 1.058621e-01
118 5.748199e-01 -8.309745e+01 4.346109e-07 -1.056836e+00 3.957409e-02
119 4.934942e-01 6.568493e+01 2.206487e-06 3.000000e+00 2.334757e-01
120 6.980217e-01 5.745892e+01 5.990885e-06 -1.187227e+00 -4.299987e-02
121 6.633203e-01 8.435750e+01 2.678457e-06 2.999999e+00 -1.789537e-01
122 8.109155e-01 -9.108446e+01 8.403614e-06 3.814319e-02 -4.999998e-01
123 9.083651e-01 5.483564e+01 2.242730e-06 -6.759841e-01 -4.098096e-01
124 4.212004e-02 -9.784061e+01 3.730429e-06 -9.822399e-01 2.843242e-01
125 8.232352e-01 -9.999645e+01 1.208503e-05 -1.602969e-01 -2.527211e-01
126 8.408453e-01 6.806110e+01 1.472059e-06 1.432936e+00 -2.766090e-01
127 7.952651e-01 5.869693e+01 2.437824e-06 -2.496926e+00 4.852227e-01
128 9.572573e-01 -8.109395e+01 6.836067e-06 -4.479585e-02 -4.541508e-01
129 7.281283e-01 4.274501e+01 4.296321e-06 1.540231e+00 1.037086e-01
130 5.185548e-01 1.898098e+01 2.899862e-06 3.000000e+00 -2.653272e-01
131 5.883379e-01 4.049893e+01 1.242135e-05 -1.773156e+00 -2.477486e-01
132 8.577947e-01 -2.659599e+01 3.173110e-06 2.999875e+00 1.089327e-01
133 6.806454e-01 1.518752e+01 3.963101e-06 3.000000e+00 2.648948e-01
134 4.859728e-01 7.684244e+01 3.167353e-06 3.000000e+00 9.917629e-02
135 1.140397e+00 -3.692416e+01 1.968057e-05 -3.000000e+00 -6.673773e-02
136 3.379451e-01 5.669251e+01 9.127782e-06 3.000000e+00 -8.745131e-02
137 6.089888e-01 3.817668e+01 1.412157e-06 -2.326986e+00 3.412401e-01
138 7.639154e-01 8.281723e+00 2.060413e-06 2.999984e+00 3.196171e-01
139 1.021760e+00 3.553429e+01 1.421626e-06 -9.579550e-01 9.371161e-02
140 4.911799e-01 6.672092e+00 2.314145e-06 3.000000e+00 -3.512236e-03
141 8.073679e-01 6.139969e+01 2.979495e-06 -1.692281e+00 1.174512e-01
142 1.499072e+00 -2.564562e+01 4.423665e-06 -3.000000e+00 -9.300755e-02
143 5.990440e-01 4.948972e+01 9.784654e-07 2.999983e+00 4.999997e-01
144 1.358675e+00 2.190259e+00 4.954652e-06 -2.353481e+00 1.651242e-01
145 8.031702e-01 7.220127e+01 2.173893e-06 -9.931623e-01 1.151984e-01
146 5.960300e-01 2.358378e+01 6.301887e-06 1.852135e+00 1.715935e-01
147 1.301544e+00 8.895750e+01 2.011996e-06 8.843591e-01 -3.782338e-01
148 1.025481e+00 6.165503e+01 2.467991e-06 -1.074607e+00 -1.219333e-01
149 3.352109e-01 4.722972e+01 6.511609e-06 2.999999e+00 9.093791e-02
150 8.968030e-01 5.549917e+01 4.352389e-06 -2.488747e-02 -3.605247e-01
151 1.500000e+00 -2.495931e+01 2.114352e-06 -2.021427e+00 -2.687578e-01
152 7.452792e-01 5.433865e+01 1.630518e-06 -8.137382e-01 3.643374e-02
153 6.814935e-01 7.279401e+01 1.221035e-06 1.857102e+00 -9.786516e-02
154 3.193268e-01 5.548724e+01 6.114302e-06 3.000000e+00 9.706496e-02
155 7.949103e-01 6.392784e+01 7.775598e-06 -8.065651e-01 -3.850612e-01
156 7.086949e-01 -9.647958e+01 9.207611e-06 -2.999805e+00 1.481000e-01
157 6.030213e-01 6.636391e+01 1.591807e-06 3.000000e+00 1.024638e-01
158 6.860732e-01 5.846325e+01 8.601949e-06 -1.145391e+00 -1.663077e-01
159 4.334476e-01 3.409811e+01 2.547378e-06 3.000000e+00 4.804208e-01
160 8.193918e-01 -6.794604e+01 2.094533e-05 3.811959e-02 -4.818638e-01
161 7.140250e-01 9.887469e+01 -1.383738e-07 -2.999995e+00 -3.623901e-01
162 3.346562e-01 6.573961e+01 2.595248e-06 3.000000e+00 2.850232e-01
163 2.506149e-01 -7.165236e+01 3.827909e-06 2.999163e+00 7.744391e-02
164 5.433633e-01 3.305060e+01 8.247330e-06 1.510629e+00 9.074668e-02
165 2.094075e-01 -9.710764e+01 1.710527e-06 8.321217e-01 4.999984e-01
166 7.352505e-01 -1.191704e+00 1.177162e-06 2.998973e+00 -5.359648e-02
167 6.346767e-01 5.252032e+01 1.422466e-05 -8.033064e-01 1.695832e-01
168 8.821834e-01 7.156498e+01 2.227509e-06 2.066434e-03 -1.211169e-01
169 6.690118e-01 6.072343e+01 1.323540e-06 -2.999550e+00 -2.004836e-01
170 4.009030e-01 1.300008e+01 9.009745e-06 -1.514227e+00 1.342209e-01
171 4.588230e-01 7.599992e+01 2.784226e-06 3.000000e+00 1.208031e-01
172 7.197827e-01 2.278025e+01 1.940733e-06 3.000000e+00 -7.031615e-02
173 9.342966e-01 4.585799e+01 1.679738e-06 4.512439e-01 2.548767e-01
174 6.901043e-01 5.447474e+01 4.991991e-06 -2.999986e+00 3.502636e-01
175 5.776803e-01 6.089798e+01 3.122846e-06 2.368927e-01 -2.732780e-01
176 3.404506e-01 5.710542e+01 5.252574e-06 -1.363363e+00 -1.509608e-01
177 7.039767e-01 -9.156761e+00 1.340099e-05 1.522576e-01 -3.534367e-01
178 5.298350e-01 -9.254225e+01 4.221412e-06 3.396769e-01 -4.043273e-01
179 1.094551e+00 -5.372512e+01 2.213138e-05 2.750732e-02 -3.987665e-01
180 2.752448e-01 4.241512e+01 8.141341e-06 3.000000e+00 4.917623e-01
181 7.582337e-01 4.786337e+01 1.313946e-06 -1.770682e+00 -9.778001e-02
182 8.189951e-01 4.830094e+01 1.715029e-06 -2.999999e+00 -2.173886e-01
183 5.907682e-01 7.590567e+01 1.044642e-06 -3.000000e+00 -4.412335e-02
184 9.371927e-01 -2.422615e+01 4.201037e-06 -4.974193e-01 -1.935094e-01
185 4.842927e-01 4.057611e+01 2.083212e-06 3.000000e+00 1.713433e-01
186 5.230112e-01 6.362779e+01 1.783670e-06 2.999997e+00 -2.266091e-01
187 1.045576e+00 -9.999918e+01 6.850357e-06 7.408199e-02 -3.362299e-01
188 7.785842e-01 1.712670e+00 1.032209e-06 2.357376e+00 2.089518e-01
189 6.527339e-01 6.369097e+01 2.070868e-06 -4.145023e-01 -3.842617e-01
190 3.270443e-01 1.529736e+01 3.749897e-06 3.000000e+00 3.965890e-01
191 7.938461e-01 -8.470259e+01 2.465499e-05 -6.520203e-02 -5.000000e-01
192 1.291445e+00 5.818164e+01 2.468685e-06 6.148501e-01 -2.433518e-01
193 6.663604e-01 7.580172e+01 1.947150e-06 2.999963e+00 2.332720e-01
194 1.394515e+00 8.520112e+01 -3.136081e-05 -2.309021e+00 -1.892145e-01
195 7.458317e-01 -9.394021e+01 1.371120e-05 -3.043269e-01 -5.000000e-01
196 1.164466e+00 -6.712211e+01 4.897316e-05 -3.000000e+00 -4.568994e-02
197 1.287234e+00 -5.357534e+00 1.592703e-06 -1.308715e+00 -1.641536e-01
198 6.049419e-01 1.230440e+01 7.306118e-07 3.000000e+00 4.999983e-01
199 4.977743e-01 5.548462e+01 1.604241e-05 -1.318797e+00 -1.223832e-01
200 9.887319e-01 6.572822e+01 2.541506e-06 -1.346134e+00 -6.103546e-02
201 2.609022e-01 4.152375e+01 1.024476e-06 -1.069412e+00 4.910051e-01
202 1.500000e+00 -9.422230e+01 1.224501e-05 -1.368757e-01 -3.774563e-01
203 7.127416e-01 5.901976e+01 7.584553e-06 -1.293452e+00 -1.672543e-01
204 7.057489e-01 -5.115579e+01 3.507380e-05 -3.167051e-02 -5.000000e-01
205 7.994714e-01 6.441051e+01 1.295796e-06 -1.012689e+00 -2.124710e-01
206 1.314770e+00 5.736373e+01 1.072042e-06 3.000000e+00 -1.031018e-01
207 5.440727e-01 6.983259e+01 4.649048e-06 3.000000e+00 -1.214326e-01
208 6.678080e-01 5.909023e+01 4.391088e-06 -1.597219e+00 3.535386e-01
209 7.320577e-01 1.350970e+01 3.892255e-06 -9.052692e-01 1.925228e-02
210 5.747452e-01 4.489185e+01 1.279163e-06 -4.675134e-01 2.406058e-01
211 7.644686e-01 9.999007e+01 -1.773734e-05 -1.006029e+00 9.619674e-02
212 4.547578e-01 7.153086e+01 4.821098e-06 3.000000e+00 2.385300e-01
213 1.000000e-02 -6.323704e+01 6.017191e-06 -1.155589e+00 9.839980e-02
214 7.345130e-01 4.479107e+01 6.275755e-06 -1.553212e+00 -1.824464e-01
215 2.674146e-01 9.254996e+01 2.761910e-06 3.000000e+00 4.014349e-01
216 7.303277e-01 6.361975e+01 4.443347e-06 1.812281e-01 -2.075703e-02
217 8.686079e-01 2.274813e+01 3.027698e-06 -6.204345e-01 -3.852640e-01
218 3.348493e-01 5.837746e+01 3.209707e-06 2.239040e+00 2.574418e-01
219 6.274302e-01 1.337185e+01 2.050532e-06 2.999998e+00 2.732075e-01
220 2.131034e-01 7.596071e+01 1.285799e-06 3.000000e+00 5.000000e-01
221 7.128379e-01 3.286977e+01 3.040270e-05 -4.158274e-03 -3.783595e-01
222 6.804848e-01 5.176800e+01 2.575498e-06 1.737899e+00 -1.941033e-01
223 4.335807e-01 6.843594e+01 2.181613e-06 3.000000e+00 -1.455675e-01
224 4.421169e-01 5.490902e+01 9.570173e-06 3.000000e+00 4.212493e-01
225 4.916834e-01 -4.394072e+01 6.046486e-05 3.787003e-01 -5.000000e-01
226 7.121302e-01 -9.031428e+01 1.555321e-05 -2.888750e+00 -1.160003e-01
227 6.695932e-01 4.525514e+01 1.877819e-06 -3.000000e+00 -9.122436e-02
228 7.279089e-01 7.029187e+01 2.848450e-06 3.000000e+00 -2.115939e-01
229 7.642712e-01 6.206118e+01 3.869800e-05 -7.781416e-01 -3.864943e-01
230 8.163802e-01 4.294617e+01 1.624992e-06 -1.126714e+00 4.249825e-01
231 1.207527e+00 -4.055818e+01 2.518139e-05 -3.000000e+00 -8.364103e-02
232 8.203480e-01 -9.328253e+01 7.306057e-06 8.414905e-01 -1.240519e-01
233 6.248009e-01 6.080327e+01 6.477599e-06 -2.346722e+00 -3.810087e-01
234 9.307437e-01 6.551259e+01 2.077715e-06 -2.219854e-01 1.716396e-01
235 1.005658e+00 6.224539e+01 2.347455e-06 -1.121446e+00 -3.657918e-01
236 5.317674e-01 6.566444e+01 4.389953e-06 3.000000e+00 -8.528856e-02
237 3.653167e-01 -8.532197e+01 4.499438e-05 2.339110e+00 -4.717510e-01
238 6.248101e-01 -8.136496e+01 2.513342e-05 1.039331e-01 -4.999831e-01
239 5.084121e-01 -1.569495e+01 1.446724e-05 6.651820e-01 -8.561144e-02
240 9.666129e-01 -9.954545e+01 6.091541e-06 -5.067940e-02 -5.000000e-01
241 4.929388e-01 -3.014204e+01 4.939023e-06 2.999997e+00 -1.168823e-01
242 8.670215e-01 5.810658e+01 5.463596e-06 2.914698e-01 -3.499556e-01
243 6.138531e-01 6.275238e+01 1.345562e-06 3.000000e+00 1.611156e-01
244 2.760887e-01 -8.928589e+01 2.404673e-06 -2.950637e+00 4.904268e-01
245 6.703421e-01 6.452129e+01 9.919762e-07 -1.092164e+00 1.060751e-01
246 7.290871e-01 6.191539e+01 1.547570e-06 3.407890e-01 1.131687e-01
247 6.006363e-01 5.887174e+01 2.276200e-06 2.398618e+00 -1.887474e-01
248 4.570876e-01 8.977803e+01 2.483277e-06 3.000000e+00 1.440671e-01
249 4.369385e-01 6.199278e+01 4.548941e-06 2.520101e+00 -1.066010e-01
250 6.745831e-01 3.811922e+01 3.204860e-06 3.000000e+00 -1.415876e-01
251 1.000000e-02 4.012882e+01 1.662223e-06 -1.914225e+00 5.000000e-01
252 8.120252e-01 8.444844e+01 1.169090e-06 3.000000e+00 -1.127602e-01
253 9.172407e-01 -5.775303e+01 4.275620e-05 -3.000000e+00 4.026680e-01
254 5.769007e-01 -9.150422e-01 4.837058e-06 -1.995503e-01 1.110536e-01
255 6.367187e-01 6.405923e+01 1.234051e-05 2.999974e+00 -4.999995e-01
256 7.318355e-01 5.536312e+01 1.461140e-05 -1.959359e-01 -2.549910e-01
257 1.272185e-01 -9.838172e+01 1.214874e-06 2.996619e+00 1.971208e-01
258 3.438272e-01 -4.598467e+01 3.783412e-05 -2.424108e+00 -4.959789e-01
259 6.847462e-01 5.988446e+01 1.059453e-05 3.000000e+00 -1.248566e-01
260 5.837810e-01 7.385831e+01 1.385090e-06 9.957627e-01 -1.659530e-01
261 7.467970e-01 -4.467662e+01 1.087907e-04 -5.691004e-02 -5.000000e-01
262 7.638601e-01 9.918003e+01 -9.886407e-07 2.320230e-01 2.508262e-01
263 6.955785e-01 6.865236e+01 1.905865e-06 1.350585e+00 -1.005956e-01
264 2.228189e-01 5.353743e+01 9.350180e-06 3.000000e+00 4.414767e-01
265 1.787680e-01 4.195425e+01 2.672538e-04 -8.338992e-01 -2.026094e-01
266 3.713989e-01 5.830077e+01 2.820332e-06 1.517089e+00 2.282757e-01
267 2.572258e-01 6.596281e+01 2.056865e-06 2.999999e+00 4.999999e-01
268 1.321471e+00 -4.794772e+01 4.894337e-06 -3.000000e+00 -1.487296e-01
269 4.937432e-01 4.636499e+01 3.397547e-06 3.000000e+00 4.353510e-01
270 8.821584e-01 7.624859e+01 1.261946e-06 1.288588e-01 2.452251e-01
271 6.929449e-01 1.860577e+01 1.565967e-06 -6.579611e-01 -1.649650e-02
272 5.243753e-01 8.383325e+01 2.318530e-06 2.999996e+00 -2.672653e-01
273 7.238549e-01 4.743560e+01 1.080984e-06 -7.609517e-01 -1.114328e-01
274 5.222161e-01 5.983699e+01 1.528095e-05 3.000000e+00 -2.567540e-01
275 1.412058e+00 -3.970741e+01 9.962170e-06 -3.000000e+00 5.000000e-01
276 4.524606e-01 3.319507e+01 2.047299e-06 3.000000e+00 4.486703e-01
277 7.059013e-01 6.017484e+01 6.873751e-06 2.307290e-01 -2.243754e-01
278 6.589906e-01 4.890947e+01 8.003652e-07 2.999999e+00 -2.247032e-01
279 6.575872e-01 6.098104e+01 1.690521e-06 -1.332124e+00 -9.639064e-02
280 9.528229e-01 6.516182e+01 7.276243e-07 6.167835e-01 -2.171753e-01
281 9.404816e-01 7.298309e+01 2.437225e-06 -9.619660e-01 1.514343e-02
282 3.441094e-01 5.603621e+01 6.487474e-06 1.529210e+00 -5.481662e-03
283 4.898436e-01 -9.959993e+01 2.523766e-05 -2.973376e+00 -4.806908e-02
284 6.825627e-01 5.772454e+01 8.667602e-06 4.056117e-01 -1.725158e-01
285 6.579038e-01 5.179124e+01 5.948570e-06 -1.768107e+00 -2.003713e-01
286 2.386977e-01 7.720005e+01 3.240292e-06 2.694203e+00 3.368783e-01
287 4.016246e-01 -8.897965e+01 3.748388e-05 2.999994e+00 -3.225970e-01
288 6.183018e-01 5.800104e+01 2.680672e-06 2.999999e+00 1.563636e-01
289 7.592792e-01 7.051494e+01 2.009405e-06 5.637456e-03 3.362921e-01
290 7.212848e-01 -1.660764e+01 4.591414e-06 -1.440979e+00 -1.487749e-01
291 4.913356e-01 -8.357883e+01 5.647350e-06 -2.999999e+00 -1.762681e-01
292 6.664607e-01 5.774478e+01 5.076392e-06 -6.194506e-01 3.472329e-01
293 8.080887e-01 5.558533e+01 2.561844e-06 -1.088106e+00 -5.190314e-02
294 1.429581e-01 1.435649e+01 2.873893e-06 3.000000e+00 5.000000e-01
295 6.345034e-01 5.725666e+01 7.171347e-06 -1.956771e-01 -7.429279e-02
296 9.401439e-01 -3.719338e+01 8.293087e-06 -1.636837e-01 -4.321511e-01
297 6.956112e-01 5.860336e+01 2.571785e-06 -7.563483e-01 -2.307630e-01
298 6.343598e-01 7.538314e+01 1.518137e-06 2.999949e+00 -2.475759e-01
299 9.712106e-01 6.104750e+01 3.475575e-06 -1.104862e+00 -2.401962e-01
300 4.377159e-01 3.286710e+00 1.587684e-06 1.148948e+00 3.502364e-01
301 8.091867e-01 6.950235e+01 2.418197e-06 -1.811553e+00 2.230397e-02
302 3.949028e-01 8.373559e+01 1.638795e-05 2.628765e-02 2.152017e-01
303 5.230248e-01 5.680190e+01 4.171310e-06 3.000000e+00 -1.038930e-01
304 3.424649e-01 7.261529e+01 2.196604e-05 3.000000e+00 -1.492779e-01
305 8.139824e-01 -9.256944e+01 4.511574e-06 -2.843637e-02 -4.999995e-01
306 7.862640e-01 6.686308e+01 2.749567e-06 -5.497303e-01 2.628055e-03
307 8.194942e-01 6.829678e+01 2.736458e-06 -2.458351e+00 -2.752241e-02
308 8.460774e-01 7.080672e+01 2.379520e-06 -1.890339e+00 -3.781019e-02
309 2.212995e-01 5.241022e+01 6.455033e-06 3.000000e+00 5.000000e-01
310 6.845096e-01 6.167389e+01 2.830875e-06 -8.357396e-01 5.429390e-02
311 9.499389e-01 6.783031e+01 6.743317e-06 1.329981e-02 -3.872921e-01
312 6.897647e-01 7.356388e+01 2.630986e-06 3.000000e+00 -3.096016e-01
313 5.709633e-01 5.808719e+01 2.217961e-06 -3.000000e+00 2.083228e-01
314 1.448125e-01 -6.536696e+01 6.477104e-06 2.784488e+00 -6.861071e-02
315 7.212813e-01 5.211915e+01 7.670976e-06 7.333050e-01 -1.051648e-01
316 5.201554e-01 7.447005e+01 2.946630e-06 3.000000e+00 6.213203e-02
317 3.981036e-01 4.386031e+01 1.051422e-04 1.666207e+00 -3.090880e-01
318 5.465508e-01 5.984719e+01 1.282382e-05 2.889935e+00 -2.698694e-01
319 5.253833e-01 7.403029e+01 2.694009e-06 2.999993e+00 -7.492808e-02
320 4.868735e-01 7.661628e+01 3.231444e-06 3.000000e+00 1.102142e-01
